"Title","Original Title","Author Names","Source","Abstract","Original Abstract","Open URL Link"
"Nicotine promotes lymph node metastasis and cetuximab resistance in head and neck squamous cell carcinoma",,"Shimizu R., Ibaragi S., Eguchi T., Kuwajima D., Kodama S., Nishioka T., Okui T., Obata K., Takabatake K., Kawai H., Ono K., Okamoto K., Nagatsuka H., Sasaki A.","International Journal of Oncology (2019) 54:1 (283-294). Date of Publication: 1 Jan 2019","Epidermal growth factor (EGF) is overexpressed in many cancers and is associated with worse prognosis. EGF binds to its cell surface receptor (EGFR), which induces EGFR phosphorylation. Phosphorylated EGFR (p-EGFR) is translocated into the nucleus, which increases cancer cell activity. Nicotine, which is one of the main components of tobacco, is absorbed through pulmonary alveoli and mucosal epithelia in the head and neck region by smoking and moves into the blood. Nicotine in blood binds to nicotinic acetylcholine receptor (nAChR) in the central nervous system and serves a crucial role in tobacco addiction. Although nAChR localization is thought to be limited in the nervous system, nAChR is present in a wide variety of non-neuronal cells, including cancer cells. Recent studies suggest that nicotine contributes to the metastasis and resistance to anti-cancer drugs of various cancer cells. However, it remains unknown whether head and neck squamous cell carcinoma (HNSCC) cells can utilize nicotine-nAChR signaling to metastasize and acquire resistance to anti-cancer drugs, even though the mucosal epithelia of the head and neck region are the primary sites of exposure to tobacco smoke. To the best of our knowledge, the present study is the first to demonstrate the role of nicotine in metastasis and anti-EGFR-therapy resistance of HNSCC. The present findings demonstrated that nicotine increased proliferation, migration, invasion, p-EGFR nuclear translocation and protein kinase B (Akt) phosphorylation in HNSCC cells. It was also demonstrated that nicotine restored cetuximab-inhibited proliferation, migration and invasion of HNSCC cells. Finally, an in vivo experiment revealed that nicotine increased lymph node metastasis of xenografted tumors, whereas an nAChR inhibitor suppressed lymph node metastasis and p-EGFR nuclear localization of xenografted tumors. Taken together, these results demonstrated that nicotine induced nuclear accumulation of p-EGFR, and activation of Akt signaling. These signaling pathways elevated the activities of HNSCC cells, causing lymph node metastasis and serving a role in cetuximab resistance.",,
"Smoking and oral cancer. Evaluation and treatment. Case report","Fumo e cancro orale. Valutazioni e trattamento. Caso clinico","Mallardo A., Ferrigno M., Battista F.","IJCI - International Journal of Clinical Investigation (2006) 14:3-4 (83-90). Date of Publication: July/December 2006","The aim of this paper is to show, through epidemiologic assessment indexes, the important role smoke plays as a risk factor for the oral cavity and that by mini-invasive surgical techniques it is today possible to remove tumor lesions without reducing surrounding tissues too much.",,
"Association between smoking during radiotherapy and prognosis in head and neck cancer: A follow-up study",,"Browman G.P., Mohide E.A., Willan A., Hodson I., Wong G., Grimard L., MacKenzie R.G., El-Sayed S., Dunn E., Farrell S.","Head and Neck (2002) 24:12 (1031-1037). Date of Publication: December 2002","Background. The study objective was to confirm a previous finding that patients with stage III/IV squamous head and neck cancer (SHNC) who smoke during radiotherapy (RT) experience reduced survival. Methods. An observational cohort study. Patients' smoking status was assessed weekly by questionnaire plus blood cotinine. Patients were assessed every 3 to 4 months for survival. Logistic regression and Cox proportional hazards analyses were used to detect the independent contribution of smoking on survival. Results. Of 148 patients, 113 smoked during RT. Blood cotinine and smoking questionnaire responses were highly correlated (Spearman R = .69; p < .0005). Abstainers and very light smokers experienced better survival than light, moderate, and heavy smokers (median, 42 vs 29 months; p = .07). Tumor and nodal status and years smoked were the most important prognostic factors. Smoking during RT was not an independent predictor of survival, but baseline smoking status was (p = .016). Conclusion. Smoking status should be documented in all future trials of RT in SHNC to allow for pooled analyses with sufficient power to address this question. © 2002 Wiley Periodicals, Inc.",,
"Effects of tobacco smoking and nicotine on cancer treatment",,"Petros W.P., Younis I.R., Ford J.N., Weed S.A.","Pharmacotherapy (2012) 32:10 (920-931). Date of Publication: October 2012","A substantial number of the world's population continues to smoke tobacco, even in the setting of a cancer diagnosis. Studies have shown that patients with cancer who have a history of smoking have a worse prognosis than nonsmokers. Modulation of several physiologic processes involved in drug disposition has been associated with long-term exposure to tobacco smoke. The most common of these processes can be categorized into the effects of smoking on cytochrome P450-mediated metabolism, glucuronidation, and protein binding. Perturbation in the pharmacokinetics of anticancer drugs could result in clinically significant consequences, as these drugs are among the most toxic, but potentially beneficial, pharmaceuticals prescribed. Unfortunately, the effect of tobacco smoking on drug disposition has been explored for only a few marketed anticancer drugs; thus, little prescribing information is available to guide clinicians on the vast majority of these agents. The carcinogenic properties of several compounds found in tobacco smoke have been well studied; however, relatively little attention has been given to the effects of nicotine itself on cancer growth. Data that identify nicotine's effect on cancer cell apoptosis, tumor angiogenesis, invasion, and metastasis are emerging. The implications of these data are still unclear but may lead to important questions regarding approaches to smoking cessation in patients with cancer.",,
"Nicotine abstinence of cancer patients before, during andafter treatment",,"Laack E.","Onkologie (2011) 34 SUPPL. 6 (100-101). Date of Publication: September 2011","Tobacco use accounts for at least 25% of all cancer deaths including carcinomaof the lung, lip, oral cavity, pharynx, larynx, esophagus, pancreas, uterine cervix, kidney, bladder and stomach.Smoking cessation is an important opportunity to enhance effectiveness ofcancer treatment, like surgery, radiotherapy, and systemic therapy. It is importantnot only for cancer patients but also for all patients who need surgicaltherapy. Smokers have an increased mortality risk, more pulmonary and respiratorycomplications attributable to limited lung function, wound infectionsand delayed surgical wound healing. For example, in colorectal surgery, smokingpatients have a major possibility for anastomic leakage compared to nonsmokers.In breast reconstruction smoking impairs the free TRAM flapmicrocirculation. In Liver transplant, smoking is associated with more cardiovascular-related and sepsis-specific mortality and vascular complications andhigher incidence of ascites and encephalopathy. Smoking cessation shortlybefore thoracic surgery is associated with improved long-term survival.Tobacco smoking during radiotherapy in patients with head and neck cancer isassociated with unfavourable outcome. Current smoker with lung cancer duringradiotherapy have a 20% greater probability of radiation pneumonitis.During chemotherapy, smoking exacerbates oral mucosites, loss of tase, xerostomia, weight loss and fatigue.Tobacco smoking after cancer diagnosis has also a negative impact on prognosis(e.g. small cell lung cancer, renal clear cell carcinoma, Non-Hodgkin'slymphoma, breats cancer) as well as on quality of life.Therefore, physicians should motivate and help their cancer patients to quitsmoking as soon as possible before cancer treatment. Non-smoking is not onlycool, it also enhance effectiveness of cancer treatment and had a positiveimpact on survival.Every comprehensive cancer center should offer cancer patients and also thecommunity as a whole a service of smoking cessation and also promotetobacco control in adolescents and adults. (Table presented).",,
"Clinical and behavioral characteristics of active smokers with squamous cell carcinoma of the head and neck (SCCHN) in an urban setting: Attitudes underlying high-risk disease",,"Chuy J.W., Moadel A., Haynes H., Garg M., Schiff B.A., Smith R.V., Sarta C., Eng Y., Schlecht N., Negassa A., Haigentz M.","Journal of Clinical Oncology (2011) 29:15 SUPPL. 1. Date of Publication: 20 May 2011","Background: Cigarette smoking is associated with 85% of SCCHN, and active smoking has been associated with poor prognosis. The objective of this study was to examine the clinical, behavioral and psychosocial factors associated with tobacco use in patients (pts) with SCCHN undergoing curative-intent radiotherapy (RT). Methods: Self-report questionnaires were administered to 24 pts with SCCHN undergoing curative-intent RT at Montefiore Medical Center who had reported smoking within 6 months prior to diagnosis. Data collected at baseline included demographics, smoking behaviors and attitudes, mood state using MHI-5, and quality of life (QoL) using EORTC QLQ-C30 and QLQ-H & N35 questionnaires. Results: Most participants (79%) were male, 38% were married, and 70% had a high school education or less. Forty-six percent were African American and 21% were Hispanic. Most pts had oropharyngeal (33%) or laryngeal (42%) cancers, and 67% had stage IV disease. The mean number of cigarettes smoked per day was 21.6. Average duration of tobacco use was 39.3 yrs. Eight pts (33%) reported concomitant alcohol use. Only 57% felt that smoking was somewhat or very much related to their cancer diagnosis, though 92% were in action or contemplative stages of change. Most (63%) had tried to quit at least once in their lifetime but without formal guidance; 33% had used a form of nicotine replacement. Mean MHI-5 score was 52, previously shown to correlate with depression. Pts scored lower on the social functioning scale (71.4) relative to the general head and neck cancer population (82.6). The worst symptom scale scores were pain killer use, weight loss, coughing, swallowing difficulties, and financial difficulties. Five pts (21%) did not complete RT or had treatment delays 5 days. After a median of 16 months of follow-up, 5 (21%) have died of disease and 2 (8%) are alive with recurrence. Conclusions: Active cigarette smokers with SCCHN represent a population with impaired QoL at risk for poor outcomes despite curative-intent RT. Interventions targeting community education on cancer prevention and smoking cessation and addressing QoL in smokers with SCCHN are indicated.",,
"Current surgical epidemiology of esophageal and gastric cancer","Aktuelle chirurgische epidemiologie des ösophagus-und magenkarzinoms in Deutschland","Bollschweiler E., Ziegler C., Wolfgarten E.","Viszeralchirurgie (2005) 40:4 (236-241). Date of Publication: Aug 2005","Esophageal carcinoma as well as gastric cancer are one of the ten most frequent causes of death, mainly men older 50 years are concerned. Although squamous cell carcinoma (SCC) of the esophagus has been more commonly diagnosed over the past 30 years, there is increasing incidence of esophageal adenocarcinoma (AC) in Western industrialized countries. In contrast there is a linear reduction of the incidence of gastric cancer. During the same time the location of gastric cancer from the distal to the upper third of the stomach changed. A linear increase of the incidence of cardia carcinoma is described. For SCC the known etiological risk factors are nicotine and alcohol abuse. For AC, they are moderate nicotine and alcohol consumption as well as gastro-esophageal reflux and obesity. Numerous environmental influences and patient related factors work over a long period of time in a complex multifactorial process together and lead to the development of gastric cancer. The obvious reduction of the incidence of this tumour during the last years in Western industrialized countries has to be noticed as an effect of relevant changes in personal habits of life and environmental conditions. Frequent consume of fresh fruits and crudités and a simultanous reduction of salt, salted food and grilled meat is recommended for the prevention of gastro-intestinal tumours. Not only prevention and early diagnosis as well as a rise adapted therapy are important for the prognosis of these tumour types, but also patient treatment in specialized centers. © Georg Thieme Verlag KG Stuttgart.",,
"The validity of self-reported recent smoking in head and neck cancer surgical patients",,"Alberg A.J., Worley M.L., Tooze J.A., Hatcher J.L., Carpenter M.J., Day T.A., Sullivan C.A., Warren G.W., Sterba K.R., Weaver K.E.","Otolaryngology - Head and Neck Surgery (United States) (2015) 153:6 (990-995). Date of Publication: 1 Dec 2015","Objective In cancer patients, cigarette smoking causes poorer response to treatment, treatment toxicity, increased risk of recurrence, higher surgical complication rates, and poorer overall survival. As such a significant determinant of patient prognosis, accurate classification of current smoking status is important. Self-reported smoking status may lead to misclassification if patients conceal their true status. The purpose of this study was to assess the validity of self-reported tobacco use during the previous 48 hours in head and neck cancer patients on the day of surgery. Study Design Cross-sectional. Setting Two academic medical centers in the southeastern United States. Subjects and Methods On the day of surgery, 108 head and neck cancer patients completed a survey asking about tobacco use during the past 48 hours and had semi-quantitative levels of urinary cotinine measured to biochemically validate self-reported recent smoking. Results Self-reported smoking yielded a sensitivity of 60.9% (95% CI, 45.4%-74.9%) and a specificity of 98.4% (95% CI, 91.3%-100.0%). The sensitivity increased to 76.1% (95% CI, 61.2%-87.4%) when allowing for the possibility that exposure to secondhand smoke or use of nicotine-containing products could have caused a positive cotinine test. Conclusion In this patient population, self-reported recent smoking yielded a high (39%) proportion of false-negatives, and even 24% remained false-negatives after allowing for other sources of nicotine exposure. This magnitude of underreporting combined with the importance of tobacco use to patient prognosis supports the need for routinely biochemically verifying recent tobacco use in self-reported nonsmokers within the clinical setting.",,
"Smoking cessation is associated with improved survival in oropharynx cancer treated by chemoradiation",,"Platek A.J., Jayaprakash V., Merzianu M., Platek M.E., Cohan D.M., Hicks W.L., Marimuthu S.P., Winslow T.B., Gupta V., Arshad H., Kuriakose M.A., Dibaj S., Marshall J.R., Reid M.E., Warren G.W., Singh A.K.","Laryngoscope (2016) 126:12 (2733-2738). Date of Publication: 1 Dec 2016","Objectives/Hypothesis: The effect of smoking and human papillomavirus (HPV) on overall survival (OS) of oropharyngeal squamous cell carcinoma (OPSCC) patients undergoing concurrent chemotherapy (CCRT) remains unclear. Study Design: Retrospective review. Methods: Clinical characteristics of OPSCC patients treated between 2008 and 2015 with CCRT were abstracted from medical records. OS curves and multivariate cox proportional hazard ratios (HRs) were examined. Results: Of 120 evaluable patients, 71% had HPV(+) tumors. Median follow-up duration for the entire cohort was 41.5 months (range = 6–88 months). HPV(+) current smokers experienced significantly worse 5-year OS (73% alive vs. 36% alive, P =.01) and there was a similar trend in HPV(−) current smokers (66% alive vs. 31% alive, P =.28) compared to former/never smokers undergoing CCRT. In a multivariate cox proportional hazard model adjusted for age, gender, and overall tumor stage, HPV(+) current smokers experienced nearly a fourfold increase in overall mortality in comparison to HPV(+) never/former smokers (HR = 3.68, 95% CI = 1.35-10.0). Similarly, current smokers with HPV(−) tumors (HR = 6.80, 95% CI = 1.11-41.67) had increased mortality compared to never/former smokers. Conclusions: Current smoking is associated with poor prognosis, independent of HPV status, in CCRT-treated OPSCC patients. Current smoking produced an approximately four- to sevenfold increase in risk of mortality for HPV(+) and HPV(−) patients, respectively. Regardless of pack years and HPV status, efforts should be made to achieve smoking cessation before CCRT. Level of Evidence: 4. Laryngoscope, 126:2733–2738, 2016.",,
"Are Squamous and Adenocarcinomas of the Esophagus the Same Disease?",,"Siewert J.R., Ott K.","Seminars in Radiation Oncology (2007) 17:1 (38-44). Date of Publication: January 2007","Esophageal cancer can be divided in squamous-cell cancer (SCC) and adenocarcinoma (Barrett cancer: AEG I) by histopathology. However, most studies do not differentiate between these two tumor entities. SCC is associated with a lower socioeconomic level with nicotine and alcohol abuse resulting in comorbidities like liver cirrhosis and reduced pulmonary function; in contrast, AEG I is associated with a high socioeconomic level and cardiovascular risk factors. The median age of patients with SCC is 10 years younger than with AEG I. The localization of AEG I is in 94% below the tracheal bifurcation, whereas SCC has contact to the tracheal bronchial tree in 75%. Furthermore, SCC shows an earlier lymphatic spread and a worse prognosis compared to AEG I. The different localization and different comorbidities require different therapeutic strategies. The preoperative induction therapy consists of combined chemoradiotherapy for locally advanced SCC and of chemotherapy for AEG I in our department. Due to the favorable position of AEG I a classic Ivor-Lewis procedure ending with an intrathoracic anastomosis is possible, in contrast, SCC frequently requires a subtotal esophagectomy with cervical anastomosis (in a two step strategy). Therefore, at the moment there is no doubt that SCC and AEG I are two different diseases with different pathogenesis, epidemiology, tumor biology and prognosis requiring different therapeutic strategies. We suggest that the two different tumor entities should be analyzed and reported separately to provide comparable results in the future. © 2006 Elsevier Inc. All rights reserved.",,
"Cancer patients' attitudes on smoking, quitting and total ban at cancer hospitals",,"Jovicevic Bekic A., Ristic S., Mandic V.","European Journal of Cancer, Supplement (2009) 7:2-3 (189). Date of Publication: September 2009","Background: Apart from being one of the major causes of cancer, tobacco smoking can affect cancer treatment and prognosis as well. In Serbia, hospitals should soon become completely smoke-free. However, there is a dilemma if some types of wards (oncology, psychiatry) should be exempted. Cancer patients are suffering from severe stress, various symptoms and disabilities, long hospital stay. This situation might motivate them quit smoking or, on the contrary, smoking ban could be an additional stress. Materials and Methods: Group for cancer patients support has been established at the Institute for Oncology and Radiology of Serbia in 2007 by cancer patients and health care professionals in order to provide support to patients, advocate for their needs and improve communication with health care professionals. This group initiated the survey among patients at the Institute in order to establish cancer patients attitudes on smoking, quitting and the total ban of smoking in cancer hospitals. A one-day anonymous survey on attitudes on smoking, quitting and the total ban of smoking in hospital has been carried out among all hospitalized and daily clinic patients of the Institute for oncology and Radiology of Serbia. Results: A questionnaire was completed by 316 cancer patients. Among them, 45% were never smokers and 26% former smokers. Two thirds of patients considered smoking very harmful for health, and 75% thought it was very important for cancer patients to quit smoking. Among patients with lung, laryngeal and oral cancer the percentage of never-smokers as well as the belief in harmfulness of smoking was lower. Over 80% of all patients thought that the period of treatment at the Institute is the right moment to quit. The majority of patients supported the idea of smoking cessation courses organized for patients at the Institute. However, finally, only 49% of all patients supported the total ban of smoking at the Institute while 47% thought that rooms for smoking should be provided for patients. Conclusions: After the survey, the dilemma still remains. At the Institute for Oncology and Radiology of Serbia, there is a total ban of smoking with one smoking area provided for patients. Smoking cessation courses will be organized at the Institute for patients undergoing cancer treatment and nicotine replacement therapy provided for disabled hospitalized patients not being able to quit.",,
"ENT localized cancers in patients under 45 years old. Epidemiology, prognosis and treatment: Based on 106 cases","CANCERS A LOCALISATION O.R.L. CHEZ DES PATIENTS DE MOINS DE 45 ANS. EPIDEMIOLOGIE, PRONOSTIC ET PRISE EN CHARGE: A PROPOS DE 106 CAS","Carrat X., Richaud P., Devars F., Traissac L.","Revue de Laryngologie Otologie Rhinologie (1993) 114:5 (339-343). Date of Publication: 1993","106 ENT localized carcinomas (97 men and 9 women) in adults under 45 years old are reviewed. The mean age was 40.0 years old and most suffered from an alcoholic and/or nicotine addiction. 89,6% expressed an epidermoid carcinoma and buccal cavity and larynx lesions represented the most frequent locations, followed by the pharynx. Overall survival does not differ from that of an older population but some locations seem to have a very poor prognosis: mobile tongue, vallecula, piriform sinus and amygdala. On the other hand, the laryngeal locations confirm their favorable prognosis.",,
