PMID,Diseases,GeneSymbol,EntrezGene
24890618,head and neck cancer>MESH:D006258,Cox,1351
24474236,head and neck cancer>MESH:D006258,E6/E7,1489078
16619566,head and neck cancer>MESH:D006258,melanoma antigen,51152
22373581,head and neck cancer>MESH:D006258,EGFR,1956
22373581,head and neck cancer>MESH:D006258,VEGFR,3791
22373581,head and neck cancer>MESH:D006258,PARP,142
22373581,head and neck cancer>MESH:D006258,mTOR,2475
22281752,head and neck cancer>MESH:D006258,ERCC1,2067
22281752,head and neck cancer>MESH:D006258,K-RAS,3845
22281752,head and neck cancer>MESH:D006258,epidermal growth factor receptor,1956
22281752,head and neck cancer>MESH:D006258,EGFR,1956
27685843,head and neck cancer>MESH:D006258,GAL,51083
27685843,head and neck cancer>MESH:D006258,GALR1/2,2587;8811
27685843,head and neck cancer>MESH:D006258,galanin,51083
27685843,head and neck cancer>MESH:D006258,galanin receptor 1/2,2587;8811
27685843,head and neck cancer>MESH:D006258,GALR1,2587
27685843,head and neck cancer>MESH:D006258,GALR2,8811
29682090,head and neck cancer>MESH:D006258,TAC1,6863
29682090,head and neck cancer>MESH:D006258,HCRT,3060
29682090,head and neck cancer>MESH:D006258,NPY,4852
29682090,head and neck cancer>MESH:D006258,GAL,51083
29682090,head and neck cancer>MESH:D006258,tachykinin precursor 1,6863
29682090,head and neck cancer>MESH:D006258,hypocretin neuropeptide precursor,3060
29682090,head and neck cancer>MESH:D006258,neuropeptide Y,4852
29682090,head and neck cancer>MESH:D006258,galanin,51083
24234257,head and neck cancer>MESH:D006258,EGFR,1956
24234257,head and neck cancer>MESH:D006258,epidermal growth factor receptor,1956
24038070,head and neck cancer>MESH:D006258,epidermal growth factor receptor,1956
24038070,head and neck cancer>MESH:D006258,EGFR,1956
27172790,head and neck cancer>MESH:D006258,E-cadherin,999
27172790,head and neck cancer>MESH:D006258,epidermal growth factor receptor,1956
27172790,head and neck cancer>MESH:D006258,EGFR,1956
27172790,head and neck cancer>MESH:D006258,vimentin,7431
25546204,head and neck cancer>MESH:D006258,FLT,2321
26919854,head and neck cancer>MESH:D006258,fibrinogen,2244
31059079,head and neck cancer>MESH:D006258,REG III,18489
31059079,head and neck cancer>MESH:D006258,Regenerating gene III,130120
31059079,head and neck cancer>MESH:D006258,REG III,130120
23141905,head and neck cancer>MESH:D006258,E-cadherin,999
24799460,head and neck cancer>MESH:D006258,p16,1029
20098841,head and neck cancer>MESH:D006258,vascular endothelial growth factor,7422
20098841,head and neck cancer>MESH:D006258,Vascular endothelial growth factor,7422
20098841,head and neck cancer>MESH:D006258,VEGF,7422
27385000,head and neck cancer>MESH:D006258,uPA,5328
27385000,head and neck cancer>MESH:D006258,uPAR,5329
27385000,head and neck cancer>MESH:D006258,SERPINE1,5054
27385000,head and neck cancer>MESH:D006258,urokinase plasminogen activator,5328
27385000,head and neck cancer>MESH:D006258,urokinase plasminogen activator receptor,5329
24596130,head and neck cancer>MESH:D006258,KEAP1,9817
24596130,head and neck cancer>MESH:D006258,CUL3,8452
24596130,head and neck cancer>MESH:D006258,RBX1,9978
24596130,head and neck cancer>MESH:D006258,NRF2,4780
24596130,head and neck cancer>MESH:D006258,Nrf2,4780
30642292,head and neck cancer>MESH:D006258,HIF-1,3091
30642292,head and neck cancer>MESH:D006258,IGF1R,3480
30642292,head and neck cancer>MESH:D006258,LAMC2,3918
30642292,head and neck cancer>MESH:D006258,ITGB1,3688
30642292,head and neck cancer>MESH:D006258,IL-6,3569
24064970,head and neck cancer>MESH:D006258,ERCC1,2067
24064970,head and neck cancer>MESH:D006258,XPF,2072
24064970,head and neck cancer>MESH:D006258,4F9,3732
29930379,head and neck cancer>MESH:D006258,C1GALT1,56913
29930379,head and neck cancer>MESH:D006258,EGFR,1956
23818362,head and neck cancer>MESH:D006258,SCC,6317
28452036,head and neck cancer>MESH:D006258,EGFR,1956
28452036,head and neck cancer>MESH:D006258,epidermal growth factor receptor,1956
29061496,head and neck cancer>MESH:D006258,SDF-1,6387
29061496,head and neck cancer>MESH:D006258,CXCR4,7852
26888626,head and neck cancer>MESH:D006258,CD3z,919
26888626,head and neck cancer>MESH:D006258,CD3 e,916
26888626,head and neck cancer>MESH:D006258,IFN-g,3458
27028310,head and neck cancer>MESH:D006258,EGFR,1956
27028310,head and neck cancer>MESH:D006258,HRAS,3265
27028310,head and neck cancer>MESH:D006258,KRAS,3845
27028310,head and neck cancer>MESH:D006258,TP53,7157
27028310,head and neck cancer>MESH:D006258,NOTCH1,4851
26095926,head and neck cancer>MESH:D006258,TP53,7157
30409308,head and neck cancer>MESH:D006258,YAP,10413
31131446,head and neck cancer>MESH:D006258,PAX9,5083
31131446,head and neck cancer>MESH:D006258,STK33,65975
31131446,head and neck cancer>MESH:D006258,GPR150,285601
31131446,head and neck cancer>MESH:D006258,INSM1,3642
31131446,head and neck cancer>MESH:D006258,EPHX3,79852
30636185,head and neck cancer>MESH:D006258,TNM,10178
30636185,head and neck cancer>MESH:D006258,C-reactive protein,1401
23743605,head and neck cancer>MESH:D006258,REG,5967
23743605,head and neck cancer>MESH:D006258,REG III,5068
10320092,head and neck cancer>MESH:D006258,IL-2,3558
10320092,head and neck cancer>MESH:D006258,IL-4,3565
8877195,head and neck cancer>MESH:D006258,fMLP,2357
22466864,head and neck cancer>MESH:D006258,hEAG1,3756
15767360,head and neck cancer>MESH:D006258,CD44,960
20501619,head and neck cancer>MESH:D006258,MIR196A2,406973
11574775,head and neck cancer>MESH:D006258,PS 0-1,5663
20689826,head and neck cancer>MESH:D006258,S100A7,6278
21998657,head and neck cancer>MESH:D006258,MMP-10,4319
21998657,head and neck cancer>MESH:D006258,stromelysin-2,4319
21998657,head and neck cancer>MESH:D006258,Periostin,10631
21998657,head and neck cancer>MESH:D006258,IFITM1,8519
21998657,head and neck cancer>MESH:D006258,Wingless-type MMTV integration site family, member 5B,81029
21998657,head and neck cancer>MESH:D006258,Wnt-5b,81029
21998657,head and neck cancer>MESH:D006258,matrix metalloproteinase-10,4319
21998657,head and neck cancer>MESH:D006258,p38,1432
15375549,head and neck cancer>MESH:D006258,DNA methyltransferase 3B,1789
15375549,head and neck cancer>MESH:D006258,DNMT3B,1789
15375549,head and neck cancer>MESH:D006258,Cox,1351
10443096,head and neck cancer>MESH:D006258,P53,7157
10443096,head and neck cancer>MESH:D006258,p53,7157
29370316,head and neck cancer>MESH:D006258,MGMT,4255
29370316,head and neck cancer>MESH:D006258,O6-methylguanine-DNA methyltransferase,4255
27913709,head and neck cancer>MESH:D006258,p16,1029
22403616,head and neck cancer>MESH:D006258,XIAP,331
22403616,head and neck cancer>MESH:D006258,X-linked inhibitor of apoptosis,331
20629076,head and neck cancer>MESH:D006258,TNM,10178
12434417,head and neck cancer>MESH:D006258,p53,7157
27444451,head and neck cancer>MESH:D006258,CD151,977
30575303,head and neck cancer>MESH:D006258,CD31,5175
29878161,Head and Neck Cancer>MESH:D006258,p16,1029
25931452,Head and Neck Cancer>MESH:D006258,EGFR,1956
27863568,Head and Neck Cancer>MESH:D006258,epidermal growth factor receptor,24329
30723145,Head and Neck Cancer>MESH:D006258,miR,220972
30723145,Head and Neck Cancer>MESH:D006258,EGFR,1956
30723145,Head and Neck Cancer>MESH:D006258,IGF1R,3480
30723145,Head and Neck Cancer>MESH:D006258,IRS1,3667
30723145,Head and Neck Cancer>MESH:D006258,E2F7,144455
30723145,Head and Neck Cancer>MESH:D006258,WNT7B,7477
30723145,Head and Neck Cancer>MESH:D006258,FZD2,2535
30723145,Head and Neck Cancer>MESH:D006258,ITGA6,3655
30723145,Head and Neck Cancer>MESH:D006258,SERPINE1,5054
29721063,Head and Neck Cancer>MESH:D006258,CD31,5175
28120940,Head and Neck Cancer>MESH:D006258,Parathyroid Hormone-Like Hormone,5744
28120940,Head and Neck Cancer>MESH:D006258,RUNX2,860
28120940,Head and Neck Cancer>MESH:D006258,PTHLH,5744
28120940,Head and Neck Cancer>MESH:D006258,PTHLH,19227
28120940,Head and Neck Cancer>MESH:D006258,CCNA2,890
28120940,Head and Neck Cancer>MESH:D006258,CCNE2,9134
28120940,Head and Neck Cancer>MESH:D006258,CDC25A,993
26808319,Head and Neck Cancer>MESH:D006258,FADD,8772
26808319,Head and Neck Cancer>MESH:D006258,MYC,4609
26808319,Head and Neck Cancer>MESH:D006258,FOS,2353
26808319,Head and Neck Cancer>MESH:D006258,HSPA4,3308
26808319,Head and Neck Cancer>MESH:D006258,ECT2,1894
26808319,Head and Neck Cancer>MESH:D006258,TP63,8626
26808319,Head and Neck Cancer>MESH:D006258,EXT1,2131
26808319,Head and Neck Cancer>MESH:D006258,NCBP2,22916
26808319,Head and Neck Cancer>MESH:D006258,UBE2V2,7336
26808319,Head and Neck Cancer>MESH:D006258,PLAC8,51316
26808319,Head and Neck Cancer>MESH:D006258,TTK,7272
26808319,Head and Neck Cancer>MESH:D006258,CRYM,1428
30411850,Head and Neck Cancer>MESH:D006258,MSI,5928
30411850,Head and Neck Cancer>MESH:D006258,vimentin,7431
30411850,Head and Neck Cancer>MESH:D006258,nucleolin,4691
30411850,Head and Neck Cancer>MESH:D006258,prelamin-A/C,4000
30411850,Head and Neck Cancer>MESH:D006258,PGAM1,5223
30411850,Head and Neck Cancer>MESH:D006258,MALDI-MSI,5928
11568556,head and neck squamous cell cancer>MESH:C535575,Rho A,387
11568556,head and neck squamous cell cancer>MESH:C535575,Rac 2,5880
11568556,head and neck squamous cell cancer>MESH:C535575,Cdc42,998
11568556,head and neck squamous cell cancer>MESH:C535575,Arp2,10097
24405882,head and neck squamous cell carcinoma>MESH:C535575,SCC,6317
30542719,head and neck squamous cell carcinoma>MESH:C535575,CD44,960
30535476,head and neck squamous cell carcinoma>MESH:C535575,ACTL8,81569
30535476,head and neck squamous cell carcinoma>MESH:C535575,Actin-like protein 8,81569
30535476,head and neck squamous cell carcinoma>MESH:C535575,phosphatidylinositol-4,5-bisphosphate 3-kinase,5290
30535476,head and neck squamous cell carcinoma>MESH:C535575,AKT,207
28220856,Head and Neck Squamous Cell Carcinoma>MESH:C535575,Bmi-1,648
28220856,Head and Neck Squamous Cell Carcinoma>MESH:C535575,CD133,8842
28220856,Head and Neck Squamous Cell Carcinoma>MESH:C535575,Nanog,79923
28220856,Head and Neck Squamous Cell Carcinoma>MESH:C535575,Oct-4,5460
31032351,Head and Neck Squamous Cell Carcinoma>MESH:C535575,HOTTIP,100316868
29425237,head and neck squamous cell carcinomas>MESH:C535575,PITX1,5307
29425237,head and neck squamous cell carcinomas>MESH:C535575,C5orf66-AS1,101927953;100996485;5729
29425237,head and neck squamous cell carcinomas>MESH:C535575,C5orf66-AS1,100996485
26293675,hematological cancer>MESH:D009369,syndecan-1,6382
26293675,hematological cancer>MESH:D009369,Syndecan-1,6382
26293675,hematological cancer>MESH:D009369,SDC1,6382
26293675,hematological cancer>MESH:D009369,CD138,6382
25481760,HPV Positive Head and Neck Cancer>MESH:D006258,LCE3D,84648
